Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCmsScavengeBeforeRemark,Magic Number,The method contains a magic number: 0.000001,109
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCmsScavengeBeforeRemark,Magic Number,The method contains a magic number: 0.0624207,109
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCmsScavengeBeforeRemark,Magic Number,The method contains a magic number: 0.0312110,109
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderSun1_5_0,testCmsScavengeBeforeRemark,Magic Number,The method contains a magic number: 0.000000001,109
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 123,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 77.737,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 0.000001,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 630435,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 183741,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 1048576,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 0.566158,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenCon,Magic Number,The method contains a magic number: 0.0000001,37
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 32420,54
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 9.385,54
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 0.000001,54
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 123930,54
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 27087,54
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 1048576,54
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_4_2,testParseGenConBig,Magic Number,The method contains a magic number: 0.053417,54
