Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Export.ExportExtensionFileFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Export.ExportExtensionFileFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXT_FILE_FILTERS; description; dataWriterType
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,OpenRecent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,Exit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,RefreshWatchDog.ModelReloader,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: tracker; isFinished
gcviewer,com.tagtraum.perf.gcviewer.ctrl.action,RefreshWatchDog.ModelReloader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; LOG; allEvents; stopTheWorldEvents; gcEvents; gcPhases; vmOperationEvents; concurrentGCEvents; currentNoFullGCEvents; fullGCEvents; fileInformation; fullGcEventPauses; gcEventPauses; gcEventPhases; concurrentGcEventPauses; vmOperationEventPauses; heapAllocatedSizes; tenuredAllocatedSizes; youngAllocatedSizes; permAllocatedSizes; heapUsedSizes; tenuredUsedSizes; youngUsedSizes; permUsedSizes; postConcurrentCycleUsedTenuredSizes; postConcurrentCycleUsedHeapSizes; promotion; firstPauseTimeStamp; lastPauseTimeStamp; totalPause; fullGCPause; lastFullGcPauseTimeStamp; fullGcPauseInterval; gcPause; vmOperationPause; lastGcPauseTimeStamp; pauseInterval; initiatingOccupancyFraction; freedMemory; format; postGCUsedMemory; postFullGCUsedHeap; freedMemoryByGC; freedMemoryByFullGC; postGCSlope; currentPostGCSlope; currentRelativePostGCIncrease; relativePostGCIncrease; postFullGCSlope; relativePostFullGCIncrease; url; serialVersionUID; logger; creationTime; lastModified; length; serialVersionUID; format; SUN_VERBOSE_GC; SUN_X_LOG_GC; IBM_VERBOSE_GC; SUN_1_2_2VERBOSE_GC; UNIFIED_JVM_LOGGING; GO
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ConcurrentGCEvent; GCEvent; VmOperationEvent in method add
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ConcurrentGCEvent; GCEvent; VmOperationEvent in method add
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 66 public methods
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel.FileInformation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; logger; creationTime; lastModified; length
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel.FileInformation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel.FileInformation,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; logger; creationTime; lastModified; length
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel.FileInformation,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; logger; creationTime; lastModified; length
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel.Format,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel.Format,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; format; SUN_VERBOSE_GC; SUN_X_LOG_GC; IBM_VERBOSE_GC; SUN_1_2_2VERBOSE_GC; UNIFIED_JVM_LOGGING; GO
gcviewer,com.tagtraum.perf.gcviewer.model,GCModel.Format,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; format; SUN_VERBOSE_GC; SUN_X_LOG_GC; IBM_VERBOSE_GC; SUN_1_2_2VERBOSE_GC; UNIFIED_JVM_LOGGING; GO
gcviewer,com.tagtraum.perf.gcviewer.model,AbstractGcResource,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: GcResourceFile
